Delovno_mesto_link	Delovno_mesto	Podjetje	Datum_objave	Kraj_dela	REQUEST_URL	RESPONSE_URL	REPONSE_DATE	RESPONSE_TIME	datum_strganja	res	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-delovne-skupine-67444.php	Vodja delovne skupine m/ž	Dobrovita d.o.o.	Objavljeno: 06.02.2017	Kraj dela: Ljubljana	http://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&_action=submit&adsPerPage=50&_action=submit#jobsAds	https://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&_action=submit&adsPerPage=50&_action=submit	02.06.2017	08:32:45	6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-delovne-skupine-67444.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Voznik-tovornega-vozila-67468.php	Voznik tovornega vozila m/ž	BTS Logistik GmbH	Objavljeno: 06.02.2017	Kraj dela: Tujina					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Voznik-tovornega-vozila-67468.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Telefonist-v-klicnem-centru-prodaja-mz---Kocevje-67422.php	Telefonist v klicnem centru (prodaja) m/ž - Kočevje m/ž	Goldtrade d.o.o.	Objavljeno: 06.02.2017	Kraj dela: Kočevje ali Ribnica					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Telefonist-v-klicnem-centru-prodaja-mz---Kocevje-67422.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Telefonist-v-klicnem-centru-prodaja-mz---Ljubljana-67421.php	Telefonist v klicnem centru (prodaja) m/ž - Ljubljana	Goldtrade d.o.o.	Objavljeno: 06.02.2017	Kraj dela: Ljubljana					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Telefonist-v-klicnem-centru-prodaja-mz---Ljubljana-67421.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Svetovalec-za-osebna-zavarovanja-67423.php	Svetovalec za osebna zavarovanja m/ž	Zavarovalno zastopanje I.Q. d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Regija bivanja					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Svetovalec-za-osebna-zavarovanja-67423.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pomoc-v-strezbi--natakar-67418.php	Pomoč v strežbi / natakar m/ž	EKO Gurman d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Celje					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pomoc-v-strezbi--natakar-67418.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Referent-v-racunovodstvu-in-financah-67478.php	Referent v računovodstvu in financah m/ž	F.A. MAIK d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Maribor					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Referent-v-racunovodstvu-in-financah-67478.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Varnostnik---Intervent--prevoznik--mz-67482.php	Varnostnik - Intervent / prevoznik  (m/ž)	Varnost Maribor d.d.	Objavljeno: 03.02.2017	"Kraj dela: Ljubljana, Novo Mesto, Nova Gorica"					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Varnostnik---Intervent--prevoznik--mz-67482.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Varnostnik---nadzornik-blaga-mz-67481.php	Varnostnik - nadzornik blaga (m/ž)	Varnost Maribor d.d.	Objavljeno: 03.02.2017	Kraj dela: Kranj in Ljubljana					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Varnostnik---nadzornik-blaga-mz-67481.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Programer-67474.php	Programer m/ž	Kompas Xnet d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Ljubljana					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Programer-67474.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Upravnik-stavb-v-Celju-67460.php	Upravnik stavb v Celju m/ž	UPRA-STAN d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Celje					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Upravnik-stavb-v-Celju-67460.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/HR-specialist-za-razvoj-kadrov-mz-67480.php	HR specialist za razvoj kadrov (m/ž)	EMA d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Celje					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/HR-specialist-za-razvoj-kadrov-mz-67480.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Serviser-dvigal-67479.php	Serviser dvigal m/ž	Naton d.o.o.	Objavljeno: 03.02.2017	"Kraj dela: Osrednjeslovenska, Ljubljana"					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Serviser-dvigal-67479.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Notranji-revizor-Internal-Auditor-67477.php	Notranji revizor (Internal Auditor) m/ž	Si.mobil d.d.	Objavljeno: 03.02.2017	Kraj dela: Ljubljana					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Notranji-revizor-Internal-Auditor-67477.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/IT-BSS-Ekspert-67476.php	IT BSS Ekspert m/ž	Si.mobil d.d.	Objavljeno: 03.02.2017	Kraj dela: Ljubljana					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/IT-BSS-Ekspert-67476.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Cistilec---mesnopredelovalna-industrija-mz-67436.php	Čistilec - mesnopredelovalna industrija (m/ž)	ISS Facility Services d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Celje					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Cistilec---mesnopredelovalna-industrija-mz-67436.php	
