Delovno_mesto_link	Delovno_mesto	Podjetje	Datum_objave	Kraj_dela	REQUEST_URL	RESPONSE_URL	REPONSE_DATE	RESPONSE_TIME	datum_strganja	res
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Zavarovalni-svetovalec---mentor-76527.php"	"Zavarovalni svetovalec - mentor m/ž"	"Zavarovalno zastopanje I.Q. d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Regija bivanja"	"http://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&_action=submit&adsPerPage=50&_action=submit#jobsAds"	"https://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&_action=submit&adsPerPage=50&_action=submit"	"08.01.2017"	"04:00:53"	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Zavarovalni-svetovalec---mentor-76527.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Zavarovalni-svetovalec---asistent-76526.php"	"Zavarovalni svetovalec - asistent m/ž"	"Zavarovalno zastopanje I.Q. d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Regija bivanja"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Zavarovalni-svetovalec---asistent-76526.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Razvijalec-programske-opreme-mz-v-PE-Ljubljana-76516.php"	"Razvijalec programske opreme (m/ž) v PE Ljubljana"	"Advansys d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Razvijalec-programske-opreme-mz-v-PE-Ljubljana-76516.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pakiranje---obdelava-manjsih-paketov-mz-76525.php"	"Pakiranje - obdelava manjših paketov (m/ž)"	"GIBON d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Ljubljana - Šentvid"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pakiranje---obdelava-manjsih-paketov-mz-76525.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Razvoz-hrane-mz-76523.php"	"Razvoz hrane (m/ž)"	"Projekt studio d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Razvoz-hrane-mz-76523.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Telefonist--pomocnik-v-kuhinji-mz-76521.php"	"Telefonist / pomočnik v kuhinji (m/ž)"	"Projekt studio d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Telefonist--pomocnik-v-kuhinji-mz-76521.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec--blagajnicar-mz---PE-Brezovica-PE-Ljubljana-Rudnik-76519.php"	"Prodajalec / blagajničar (m/ž) - PE Brezovica, PE Ljubljana Rudnik m/ž"	"Eurospin Eko d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Brezovica, Ljubljana Rudnik"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec--blagajnicar-mz---PE-Brezovica-PE-Ljubljana-Rudnik-76519.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/CNC-operater-76524.php"	"CNC operater m/ž"	"Naton d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Lesce"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/CNC-operater-76524.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodovodar-76515.php"	"Vodovodar m/ž"	"Naton d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Litva"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodovodar-76515.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-v-ribarnici-mz-v-Velenju-76520.php"	"Prodajalec v ribarnici (m/ž) v Velenju"	"Mercator, d.d."	"Objavljeno: 31.07.2017"	"Kraj dela: Velenje"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-v-ribarnici-mz-v-Velenju-76520.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-Velenju-76518.php"	"Prodajalec (m/ž) v Velenju"	"Mercator, d.d."	"Objavljeno: 31.07.2017"	"Kraj dela: Velenje"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-Velenju-76518.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-na-Obali-76512.php"	"Prodajalec (m/ž) na Obali"	"Mercator, d.d."	"Objavljeno: 31.07.2017"	"Kraj dela: Obala"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-na-Obali-76512.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Zivilski-delavec-mz-76509.php"	"Živilski delavec (m/ž)"	"Axent d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Koper"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Zivilski-delavec-mz-76509.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Elektricar-76510.php"	"Električar m/ž"	"MTD BIO d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Tujina"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Elektricar-76510.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vzdrzevalec---elektricar-76513.php"	"Vzdrževalec - električar m/ž"	"Aplast d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Petrovče (cca. 5 km iz Celja)"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vzdrzevalec---elektricar-76513.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Varilec-CO2-76511.php"	"Varilec CO2 m/ž"	"MTD BIO d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Tujina"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Varilec-CO2-76511.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Mehanik-76508.php"	"Mehanik m/ž"	"Naton d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Litva"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Mehanik-76508.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Varilec-76507.php"	"Varilec m/ž"	"Naton d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Litva"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Varilec-76507.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Monter-prezracevanja-in-klimatizacije-76506.php"	"Monter prezračevanja in klimatizacije m/ž"	"Naton d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Litva"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Monter-prezracevanja-in-klimatizacije-76506.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Elektromonter-76505.php"	"Elektromonter m/ž"	"Naton d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Litva"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Elektromonter-76505.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-kavarne-76501.php"	"Vodja kavarne m/ž"	"Čokoladni atelje Dobnik d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-kavarne-76501.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pomivalec-posode-mz-76499.php"	"Pomivalec posode (m/ž)"	"Vizija gostinstvo d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pomivalec-posode-mz-76499.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-76496.php"	"Prodajalec (m/ž)"	"Lidl Slovenija d.o.o. k.d."	"Objavljeno: 31.07.2017"	"Kraj dela: gorenjska, pomurska, savinjska in podravska regija"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-76496.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/CAD-tehnik-mz-76504.php"	"CAD tehnik (m/ž)"	"HTS Skupina d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Avstrija"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/CAD-tehnik-mz-76504.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Voznik-C-kategorije---2-delovni-mesti-76503.php"	"Voznik C kategorije - 2 delovni mesti m/ž"	"CCLAN, d.o.o., Kranj"	"Objavljeno: 31.07.2017"	"Kraj dela: Teren po Sloveniji"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Voznik-C-kategorije---2-delovni-mesti-76503.php"
