VacancyPost,LinkToJV,ScrapeDate,ScrapeTime,Firm,PostDate,VacancySite,SourceLink,Content
3D risar (m/ž) - AutoCAD Plant 3D,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/3D-risar-mz---AutoCAD-Plant-3D-86428.php,22.02.2018,04:01,Brinox d.o.o., Objavljeno: 06.02.2018 , Kraj dela: Medvode,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/3D-risar-mz---AutoCAD-Plant-3D-86428.php,"\nBRINOX je inovativno evropsko družinsko podjetje, specializirano za hitre, učinkovite, cenovno konkurenčne in kupcem prilagojene rešitve procesnih sistemov. Že 30 let svoje kompetence intenzivno usmerjamo v lasten razvoj in izdelavo vrhunske strojne opreme za kompleksne potrebe farmacevtske, prehrambne in kemijske industrije.\nNaša vizija je postati vodilni evropski ponudnik personaliziranih procesnih rešitev.\n\nVeč o podjetju\n\n\nBrinox d.o.o.\nGlavna dejavnost\nProizvodnja strojev za druge posebne namene.\nLeto ustanovitve\n1992\n\n\n\nOpis delovnega mesta\n\nNaloge in odgovornosti:\n\npomoč projektantom pri risanju načrtov \nkoncipiranje in risanje 3D modelov strojne procesne opreme, procesnih sistemov ter cevnih instalacij na podlagi projektantskih  shem v skladu z GMP zahtevami v farmacevtski industriji\noptimizacija 3D modelov\nizdelava 2D načrte na podlagi 3D modelov\npriprava delavniške dokumentacije\npomoč pri izdelavi tehnične dokumentacije za sisteme\nsodelovanje pri predstavitvah modelov strankam\nskrbeli boste za nadgradnjo knjižnice 3D standardnih elementov\n\n\nPričakujemo\n\nPričakujemo:\n\nzaželena VI. stopnja visokošolske izobrazbe ali VII. stopnja univerzitetne strojne oz. druge ustrezne tehnične smeri\npoznavanje tehnične dokumentacije\nznanje angleškega (govorno in pisno)\nambicije po tehnični odličnosti, natančnosti in dobre organizacijske sposobnosti\nminimalno 1 leto delovnih izkušenj v kovinski industriji na podobnih ali enakih delih\npripravljenost za timsko delo, delo na terenu v domovini in tujini\niščemo kandidata, ki je zanesljiv, motiviran za učenje, ima rad izzive\n\n\nPonujamo\n\nPonujamo:\n\nponujamo delo v urejenem okolju in perspektivnem podjetju, kjer skrbimo za razvoj kadrov in stimulativno nagrajujemo\ndelovno razmerje bomo sklenili za določen čas z možnostjo sklenitve delovnega razmerja za nedoločen čas\n\n\n\n\n"
Administrator / koordinator dela m/ž,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator--koordinator-dela-86008.php,22.02.2018,04:01,ASO Elektrotechnik GmbH & Co KG, Objavljeno: 29.01.2018 , Kraj dela: Ptuj,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator--koordinator-dela-86008.php,\nV nemškem podjetju ASO Elektrotechnik GmbH & Co KG zaradi povečanega obsega dela v svoj kolektiv vabimo nove sodelavce.\nVeč o podjetju\n\n\nASO Elektrotechnik GmbH & Co KG\n\n\n\nOpis delovnega mesta\n\nNaloge in odgovornosti:\n\nvodenje evidenc vozil in koordinacija\nvodenje razgovorjev z potencialnimi zaposlenimi ter iskanje le teh\n\n\nPričakujemo\n\nPričakujemo:\n\ndelovne izkušnje\ndobro znanje nemškega jezika\n\n\nPonujamo\n\nPonujamo:\n\ndelo poteka na Ptuju\nmožnost pričetka z delom takoj\nzaposlitev za nedoločen čas s poskusno dobo 3 mesecev\n\n\n\n\n
Administrator m/ž,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator-86426.php,22.02.2018,04:01,GIBON d.o.o., Objavljeno: 06.02.2018 , Kraj dela: Ljubljana,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator-86426.php,"\nSmo spletna trgovina, ki deluje na mednarodni ravni. Trenutno iščemo sodelavca (m/ž) za administrativna dela v podjetju.\nVeč o podjetju\n\n\nGIBON d.o.o.\n\n\n\nOpis delovnega mesta\n\nNaloge in odgovornosti:\nZa delo na dolgi rok zaposlimo hitro, marljivo in delovno osebo za administrativna dela v spletni trgovini. Administrator mora biti sposoben organizacije, multifunkcionalnosti ter biti odličen v časovnem managementu. Administrator samostojno načrtuje, organizira in vodi delovne procese, sodeluje pri pripravi materialov, vodi poslovno korespondenco, nadzoruje stroške in ureja osnovna računovodska dela, pomaga zaposlenim v pisarni, skrbi za pretok informacij ter koordinacijo dela. \n\ncelotna administrativna podpora v podjetju,\nvodenje različnih evidenc in seznamov (pošta, poslovni partnerji, pošiljke,...),\npriprava dokumentacije za oddajo in prevzem pošiljk,\nnabava pisarniškega materiala,\nkontrola,\npopis in reklamacija faktur,\npriprava dokumentacije za knjiženje,\nsodelovanje z računovodskim servisom,\npriprava, izdaja ter obračun potnih nalogov.\n\n\nPričakujemo\n\nZahtevane delovne izkušnje:\n0 - 1 leto\n\n\nPričakujemo:\n\nnajmanj VI. stopnja izpobrazbe,\ndobro poznavanje dela z računalnikom,\nvodstvene in organizacijske sposobnosti,\nkomunikativnost, urejenost, samostojnost.\n\n\nPonujamo\n\nPonujamo:\n\nredno zaposlitev za polni delovni čas,\npestro in dinamično delo.\n\n\n\nOblika zaposlitve ali sodelovanja:\nzaposlitev za določen čas\n\n\nPoskusna doba:\n1 mesec\n\n\nMesečno plačilo:\n900 - 1200 € bruto \n\n\n\n"
Administrator letalske dokumentacije m/ž,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator-letalske-dokumentacije-86525.php,22.02.2018,04:01,Aeroservice d.o.o., Objavljeno: 07.02.2018 , Kraj dela: Lesce,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator-letalske-dokumentacije-86525.php,"\nAeroservice d.o.o. smo sodobno opremljen letalski servis s tehnologijo in znanjem zagotoviti popolno oskrbo letal ter vodenje stalne plovnosti (EASA PART 145 in PART M). Vzdržujemo enomotorna ter dvomotorna letala kovinske ali kompozitne konstrukcije.\nSmo uradni zastopniki za Cessna Aircraft Co., Technify/Continental diesel, Diamond aircrafts, Garmin, Genesys ter Aspen Avionics. Aeroservice d.o.o. se nahaja na Letališču Lesce (LJBL). Naše podjetje zastopa tudi sledeče svetovno znane proizvajalce:\n\nletala: Cessna, Diamond, Tecnam\nmotorji: Continental Diesel\nletalska oprema: Garmin, Aspen Avionics, Genesys (S-TEC autopilot)\n\nVeč o podjetju\n\n\nAeroservice d.o.o.\n\n\n\nOpis delovnega mesta\n\nNaloge in odgovornosti:\nZaposlimo administratorja (m/ž) za urejanje letalske in računovodske dokumentacije.\n\nPričakujemo\n\nPričakujemo:\n\nzaželeno je razumevanje in poznavanje tehničnih standardov\nobvezno je znanje angleškega jezika\nlasten prevoz\n\n\nPonujamo\n\nPonujamo:\n\nredna zaposlitev s poskusno dobo 3 mesece\ndelo v prijetnem kolektivu in urejenem okolju\nredno plačilo\n\n\n\n\n"
Administrator za nemški trg m/ž,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator-za-nemski-trg-mz-87458.php,22.02.2018,04:00,Kariera d.o.o., Objavljeno: 21.02.2018 , Kraj dela: Maribor,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator-za-nemski-trg-mz-87458.php,"\n \nVeč o podjetju\n\n\nKariera d.o.o.\nGlavna dejavnost\nV Karieri že od samega začetka v letu 2005 verjamemo v konstanten razvoj ter izboljšave, na kar nenazadnje kaže tudi stalna rast prihodkov ter poslovanja v zadnjih 6 letih.\n\nČe iščete pravo osebo ali pravo delovno mesto, se najprej posvetujte s Karierinim strokovnjakom.\n\nSodelovanje s Kariero vam omogoča dostop do najrazličnejših informacij s področja trga dela in zaposlitvenih priložnosti, saj smo eno od najbolj uspešnih slovenskih kadrovskih podjetij. Zaposleni v podjetju smo namreč specializirani in usmerjeni vsak v svoje strokovno področje trga dela. Zaradi objektivnega in celostnega pogleda, ki nam ga naše delo omogoča, zelo dobro (pre)poznamo vloge, ljudi, priložnosti in talente.\n\nKarierin strokovnjak tako točno ve, kakšne so zahteve na delovnem mestu in kakšne so želje podjetja. Po drugi strani pa ves čas vzpostavljamo in vzdržujemo stike s široko mrežo nadarjenih ljudi s posameznih področij. Kombinacija poznavanja zahtev in želja podjetij ter znanj in sposobnosti ljudi je pri kadrovanju zmagovalna.\nLeto ustanovitve\n2005\nPredstavitev podjetja\nKaj nas dela drugačne?\n\nStrokovnjaki prepoznavamo strokovnjake\nNaše metode dela in tehnike ocenjevanja nam omogočajo, da prepoznamo strokovnjaka za katero koli področje. Zaradi naših lokalnih in globalnih znanj vam lahko pomagamo zadovoljiti vaše individualne kadrovske potrebe, bodisi da gre za kratkoročno delo, dolgoročno sodelovanje ali contracting.\n\nProjektne rešitve\nPoiskati znamo usposobljen kader, ki bo vpet v vaš delovni proces neposredno ali na daljavo, da bo vaš zaposlitveni team lahko svež in aktiven, vaš delovni proces pa nemoten. Vsaka rešitev je prilagojena vašim potrebam, saj z našimi metodami, postopki ravnanja, spremljanjem in analiziranjem kadra v delovnem procesu stremimo k napredku in izboljšavam.\n\n\n\nOpis delovnega mesta\n\nNaloge in odgovornosti:\nVam številke ležijo in vas ponoči ne strašijo?Vam obdelava podatkov ni tuja, znanje nemškega jezika pa nuja?Potem spodnji oglas preberite in se v uspešnem mednarodnem podjetju zaposlite\n\nPričakujemo\n\nPričakujemo:\n\ndobro znanje nemškega jezika,\npoznavanje računalniških programov MS Office,\nveselje do administrativnega dela s številkami,\ndobre komunikacijske sposobnosti,\nodgovornost in zanesljivost.\n\n\nPonujamo\n\nPonujamo:\n\nustreznim kandidatom bomo ponudili sodelovanje za nedoločen čas,\nenoizmenski delovni čas, z možnostjo prilagajanja,\nmožnost napredovanja in dodatnega izobraževanja,\ndelo v uspešnem mednarodnem podjetju, kjer le-to ne posega v zasebno življenje.\n\n\n\n\n"
Aktuar m/ž,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Aktuar-86494.php,22.02.2018,04:01,Prva osebna zavarovalnica d.d., Objavljeno: 06.02.2018 , Kraj dela: Ljubljana,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Aktuar-86494.php,"\nPrva osebna zavarovalnica d.d.\n\nPrva osebna zavarovalnica je uspešno slovensko podjetje, znotraj katerega povezujemo 17 let bogatih izkušenj s svežo in ambiciozno ekipo strokovnjakov.\nMenjamo izkušnje za radovednost in medse vabimo nove sodelavce, ki iščejo stabilno zaposlitev znotraj kakovostnega delovnega okolja, obenem pa jim dinamično in fleksibilno delo predstavlja izziv.\nVeč na www.prva.si\n\nVeč o podjetju\n\n\nPrva osebna zavarovalnica d.d.\nPredstavitev podjetja\nVEČ KOT ODLIČNA REFERENCA! \n\nPRVA je največji ponudnik dodatnega pokojninskega zavarovanja v Sloveniji, hkrati pa s ponudbo življenjskih zavarovanj in drugih namenskih oblik varčevanja posameznikom nudimo zaščito in varnost skozi vsa življenjska obdobja. Odlikujejo nas dolgoletne izkušnje in delovanje v mednarodnem okolju, saj smo del družbe SKUPINA PRVA, prisotne v štirih državah jugovzhodne Evrope. \n\nSmo vedno v koraku s časom, sledimo spremembi tveganj in temu ustrezno se radi pohvalimo s sodobnim produktnim portfeljem. Delujemo odgovorno in skrbno, a hkrati kreativno ter po meri posameznika. Sprašujemo, znamo prisluhniti in temu ustrezno znamo predlagati prave rešitve. Temu ustrezno nam danes zaupa več kot 125.000 zavarovancev in 2.900 podjetij, med katerimi so najuspešnejša domača ter tuja podjetja.\nCilji in usmeritve\nMENJAMO IZKUŠNJE ZA RADOVEDNOST!\n\nV PRVI smo mnenja, da so zadovoljni in zavzeti zaposleni ključ do uspešnosti in dolgoročne rasti podjetja, zaradi česar si prizadevamo zagotavljati spodbudno delovno okolje. \n\nMed svoje vrste izbiramo le najboljše ter jim ponujamo stimulativne delovne pogoje.\n\n\n\nOpis delovnega mesta\n\nNaloge in odgovornosti:\n\npriprava predlogov zavarovalnih podlag,\nanaliziranje strukture premije, škod in zavarovalno tehničnih rezultatov posameznih zavarovalnih vrst,\npomoč pri sestavljanju aktuarskih poročil, analiz in obračunov,\nanaliziranje zavarovalnih tveganj s področja zavarovanj in njihovega vpliva na zavarovalnico,\npriprava pogojev in cenikov za zavarovanja,\nspremljanje, poznavanje in implementacija zakonodaje na svojem področju dela,\npridobivanje podatkov iz informacijskega sistema za aktuarske in statistične namene,\nsodelovanje pri razvoju zavarovalnih produktov,\nsodelovanje pri razvoju aktuarskih modelov,\nadministrativno vodenje pozavarovalne in sozavarovalne zaščite,\nnačrtovanje in oblikovanje pozavarovalne zaščite,\nopravljanje sorodnih del po navodilih nadrejenih.\n\n\n\nDelovni čas:\npolni delovni čas\n\nPričakujemo\n\nPričakujemo:\n\npoznavanje področja aktuarstva,\nnajmanj 3 leta delovnih izkušenj na področju aktuarstva,\nsamoiniciativnost, samostojnost, organiziranost, željo po učenju,\npozitiven odnos do dela,\nvisokošolsko oz. višješolska strokovna izobrazba smeri matematika, fizika, računalništvo, elektrotehnika oz. strojništvo.\n\n\nPonujamo\n\nPonujamo:\n\nz nami boste delovali v prijetnem delovnem okolju,\nz nami boste delili svoja znanja in se bogatili s strokovno in mlado ekipo sodelavcev,\npri nas boste aktivni in skupaj bomo iskali nove poslovne priložnosti ter izboljšave,\npri nas bo delo polno izzivov in naš delovnik vam bo nudil odlično ravnotežje med strastjo do dela in prostim časom,\nz nami boste postali član Prvine ekipe (zaposlitev za nedoločen čas),\nz nami se boste dogovorili o ostalih splošnih pogojih ter ugodnostih.\n\n\n\nOblika zaposlitve ali sodelovanja:\nzaposlitev za nedoločen čas\n\n\nPoskusna doba:\n4 mesece\n\n\n\n"
Analitik IS  za logistiko in proizvodnjo - začetnik (m/ž),https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Analitik-IS--za-logistiko-in-proizvodnjo---zacetnik-mz-86688.php,22.02.2018,04:01,Goinfo d.o.o. Nova Gorica, Objavljeno: 09.02.2018 , Kraj dela: Nova Gorica in teren Slovenija,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Analitik-IS--za-logistiko-in-proizvodnjo---zacetnik-mz-86688.php,"\nGOinfo d.o.o iz Nove Gorice že 25 let razvija informacijske sisteme za proizvodna podjetja. Zaradi velikega povpraševanja in rasti, vabi k sodelovanju mlade, ambiciozne kadre za uvajanje informacijskega sistema GoSoft in podporo uporabnikom.\nVeč o podjetju\n\n\nGoinfo d.o.o. Nova Gorica\n\n"
Android developer m/ž,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Android-developer-86929.php,22.02.2018,04:00,Positiva rešitve d.o.o., Objavljeno: 14.02.2018 , Kraj dela: Ljubljana,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Android-developer-86929.php,"\nPodjetje Positiva je hitro rastoče visoko tehnološko podjetje, ki povezuje kreativnost s programskimi orodji. Bogate izkušnje s področja klasičnega tržnega komuniciranja združujemo z razvojem digitalnih orodij v optimalen splet komunikacijskih rešitev za naše naročnike.\nPositiva se ukvarja z izdelavo spletnih strani, portalov in trgovin, mobilnih, spletnih in poslovnih aplikacij ter snovanjem in izvedbo komunikacijskih strategij in oglaševalskih kampanj.\nVeč o podjetju\n\n\nPositiva rešitve d.o.o.\n\n\n\nOpis delovnega mesta\n\nNaloge in odgovornosti:\n\nprogramiranje in aktivno sodelovanje pri projektih\n\n\n\nDelovni čas:\npolni delovni čas\n\nPričakujemo\n\nZahtevana izobrazba:\nVI/1., VI/2., VII.\n\n\nZahtevane delovne izkušnje:\n1 - 3 let\n\n\nPričakujemo:\n\nznanje programskega jezika JAVA\npoznavanje življenjskega cikla Android aplikacij\npoznavanje REST arhitekture in JSON strukture\nGIT verzioniranje\n\nZaželeno je tudi:\n\nkreiranje API-jev v PHP\nizdelava hibridnih mobilnih aplikacij(PhoneGap)\npoznavanje IoT(komunikacija s pametnimi napravami)\nopravljen vsaj en večji projekt\n\n\nPonujamo\n\nPonujamo:\n\ndobro plačilo\nveliko zanimivih projektov\nmožnost razvoja svojih znanj\ndelo v izkušeni ekipi\ndelo poteka v Ljubljani na sedežu podjetja\ndelovno razmerje po dogovoru\n\n\n\nOblika zaposlitve ali sodelovanja:\nzaposlitev za nedoločen čas\n\n\nMesečno plačilo:\npo dogovoru \n\n\n\n"
Arhitekt m/ž,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Arhitekt-85798.php,22.02.2018,04:01,Atelje S d.o.o., Objavljeno: 23.01.2018 , Kraj dela: Ljubljana,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Arhitekt-85798.php,"\nAtelje s d.o.o., Šmartinska cesta 152, Ljubljana\nDelovno območje Slovenija, Kazakstan, Kitajska albanija.\n\nVeč o podjetju\n\n\nAtelje S d.o.o.\n\n"
Arhitekt m/ž,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Arhitekt-86512.php,22.02.2018,04:01,"Agencija M servis, kadrovske storitve, d.o.o.", Objavljeno: 06.02.2018 , Kraj dela: Koper,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Arhitekt-86512.php,"\nZa našega naročnika, podjetje, ki se ukvarja s projektiranjem arhitekture, generalnim projektiranjem in svetovanjem, iščemo delovne in motivirane kandidate za delovno mesto ARHITEKT m/ž.\nVeč o podjetju\n\n\nAgencija M servis, kadrovske storitve, d.o.o.\nGlavna dejavnost\nKadrovske storitve.\nLeto ustanovitve\n2005\nPredstavitev podjetja\nAgencija M servis, kadrovske storitve, d.o.o, je kadrovska agencija, ki se ukvarja z iskanjem, testiranjem, selekcijo in posredovanjem strokovnih kadrov za znane naročnike po celi Sloveniji. S svojimi storitvami na kadrovskem področju izpolnjujemo želje in pričakovanja tako iskalcev zaposlitve kot podjetij.\nŠtevilo zaposlenih\n100 - 149\nPoslanstvo in vizija\nSmo dinamično podjetje, odprto za nove izzive, ki jih vsak dan prinaša poslovno okolje. Z zagotavljanjem kakovostnih storitev na trgu dela in študentskega dela skrbimo za dobrobit naših članov in poslovnih partnerjev, pri katerih pa iščemo tudi priložnosti za nove poslovne podvige.\n\n\n\nOpis delovnega mesta\n\nNaloge in odgovornosti:\n88625\n\nPričakujemo\n\nPričakujemo:\n\n\nPonujamo\n\nMesečno plačilo:\n \n\n\n\n"
