VacancyPost,LinkToJV,ScrapeDate,ScrapeTime,PostDate,Firm,VacancySite,SourceLink,Content
3D risar procesnih sistemov (m/ž),https://www.optius.com//iskalci/prosta-delovna-mesta/3d-risar-procesnih-sistemov-mz-708311-708311/,03.10.2019,02:02,17.09.2019,Brinox d.o.o.,"Sora, Medvode",https://www.optius.com//iskalci/prosta-delovna-mesta/3d-risar-procesnih-sistemov-mz-708311-708311/,3D risar procesnih sistemov (m/ž)
Administrativni delavec (m/ž),https://www.optius.com//iskalci/prosta-delovna-mesta/administrativni-delavec-mz-709305-709305/,03.10.2019,02:00,30.09.2019,PRI BRVI d.o.o.,Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/administrativni-delavec-mz-709305-709305/,"Opis delovnega mesta   Naloge in odgovornosti opravljanje splošnih administrativnih in organizacijskih del korespondenca in komunikacija z zaposlenimi izvajanje raznih obračunov v podjetju in osnovnih računovodskih del, skrb nad celostno podobo podjetja, vodenje evidenc, priprava različnih poročil, opravljanje različnih pomožnih administrativnih del, zaposlovanje, opravljanje drugih operativnih del in nalog po nalogu nadrejenega.    Pričakujemo   Od kandidata pričakujemo: najmanj V. stopnjo izobrazbe (ekonomske, administrativne oz. podobne smeri), vsaj 5. let delovnih izkušenj na podobnem delovnem mestu, aktivno znanje angleškega, priporočeno znanje srbskega ali hrvaškega jezika (znanje italijanskega jezika se smatra kot prednost), zelo dobro poznavanje MS Office, dobre komunikacijske veščine, organiziranost, zanesljivost, natančnost, fleksibilnost, samostojnost in poštenost, smisel za delo z ljudmi.     Ponujamo   Delovno mesto ponuja: dinamično delo v mladem kolektivu, redno plačilo, zaposlitev za določen čas, možnost zaposlitve za nedoločen čas, delovno mesto je v centru Ljubljane."
Administrator m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-mz-708754-708754/,03.10.2019,02:01,23.09.2019,"Klemen transport, Klemen Piškur s.p.",Mengeš,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-mz-708754-708754/,"V svojo uspešno in perspektivno delovno sredino vabimo novega sodelavca, za delovno mesto Administrator (m/ž). Opis delovnega mesta   Naloge in odgovornosti administrativna dela, izstavljanje računov, izterjava plačil, obračun potnih nalogov, osnovno poznavanje davčne zakonodaje s področja prevozov, vnos podatkov.    Delovni čas polni delovni čas   Pričakujemo   Zahtevane delovne izkušnje 1 - 3 let   Od kandidata pričakujemo: V. stopnjo izobrazbe ustrezne smeri, vsaj 3 leta delovnih izkušenj na podobnih delovnih mestih, aktivno znanje angleškega jezika, fleksibilno in zanesljivo osebo, poznavanje MS Office (Outlook, Word, Excel), zaželeno poznavanje programa Ferbit.    Ponujamo   Delovno mesto ponuja: zaposlitev za določen čas z možnostjo podaljšanja za nedoločen čas poskusna doba 3 mesece, delo za polni delovni čas, delo v mladem, hitro rastočem podjetju.    Oblika zaposlitve ali sodelovanja zaposlitev za določen čas   Poskusno delo: 3 mesece   Mesečno plačilo                               po dogovoru"
Administrator m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-mz-708798-708798/,03.10.2019,02:00,30.09.2019,"KREMENITI, trgovina, servis, izvoz, uvoz, proizvodnja, d.o.o.",Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-mz-708798-708798/,Administrator m/ž
Administrator v financah m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-financah-mz-707839-707839/,03.10.2019,02:02,11.09.2019,Kariera d.o.o.,Koper,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-financah-mz-707839-707839/,
Administrator za italijanski trg m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-za-italijanski-trg-mz-707906-707906/,03.10.2019,02:02,12.09.2019,Kariera d.o.o.,Koper,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-za-italijanski-trg-mz-707906-707906/,
Agent v BMW klicnem centru (m/ž) v Budimpešti,https://www.optius.com//iskalci/prosta-delovna-mesta/agent-v-bmw-klicnem-centru-mz-v-budimpesti-709207-709207/,03.10.2019,02:01,26.09.2019,Trenkwalder kadrovske storitve d.o.o.,Budimpešta,https://www.optius.com//iskalci/prosta-delovna-mesta/agent-v-bmw-klicnem-centru-mz-v-budimpesti-709207-709207/,"So jekleni konjički tvoja strast in si želiš izkušnje v evropski prestolnici? Servis center za BMW išče zavzete in komunikativne posameznike, ki se jim bodo pridružili v pisarnah v Budimpešti. Ne zamudi priložnosti in nam hitro pošlji svoj CV! Agent v BMW klicnem centru (m/ž) v Budimpešti Opis delovnega mesta   Naloge in odgovornosti obravnava e-poštnih sporočil, odgovarjanje na telefonske klice in odzivnost na zahtevke BMW-jevih (večinoma slovenskih) strank, zbiranje dodatnih informacij glede zahtevkov pri pristojnih službah in drugih strokovnjakih v BMW Group Slovenija, priprava kvalitetnih in jasnih odgovorov na zahtevke, skrb za vzdrževanje dobrih odnosov s strankami, obveščanje o raznih akcijah, dogodkih in skrb za zadovoljstvo strank.    Pričakujemo   Od kandidata pričakujemo: zaključeno srednješolsko izobraževanje (gimnazija oz. poklicna šola), odlično znanje slovenskega jezika (rojeni govorec slovenščine) in zelo dobro znanje angleščine, predhodne izkušnje z delom v klicnem centru (štejejo tudi relevantne študentke izkušnje), dobro poznavanje MS Office programov, dobro razvite komunikacijske sposobnosti, usmerjenost k zagotavljanju zadovoljstva strank. Pri izbiri bomo prednostno obravnavali kandidate, ki obvladajo še kakšen tuj jezik in že imajo izkušnje na področju avtomobilske industrije. Dodatno prednost pa predstavlja tudi poznavanje delovanja virtualnega klicnega centra in programa MS Dynamics.   Ponujamo   Delovno mesto ponuja: priložnost, da postanete član manjše kooperativne ekipe, ki je odgovorna za stranke BMW Slovenija, konkurenčno plačilo, stabilno, zanesljivo in nenehno razvijajoče se poslovno okolje, relocation package – podpora pri iskanju nastanitve v Budimpešti, priložnost, da vaše poznavanje na področju avtomobilizma uporabite v praksi."
Agent za delo v klicnem centru m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/agent-za-delo-v-klicnem-centru-mz-709491-709491/,03.10.2019,02:00,30.09.2019,TOSA d.o.o.,Ljubljana Šentvid,https://www.optius.com//iskalci/prosta-delovna-mesta/agent-za-delo-v-klicnem-centru-mz-709491-709491/,"Za okrepitev naše ekipe iščemo sodelavca/ko, ki si želi dolgoročnega, resnega in zaupanja vrednega sodelovanja. Opis delovnega mesta   Naloge in odgovornosti Iščemo agenta/agentko za delo v klicnem centru, kot pospeševalec prodaje.Delo poteka od ponedeljka do petka vsak dan od 8:00 do 16:00 h.   Pričakujemo   Od kandidata pričakujemo: Zaželene so izkušnje iz tega področja.Agent mora biti komunikativn, ambiciozen, pozitivno naravnan in mora imeti veselje do dela. Smo mlad tim, vsi skupaj stremimo, da v pozitivnem okolju dosegamo mesečne in letne plane.   Ponujamo   Delovno mesto ponuja: Nudimo redno zaposlitev z poskusno dobo 1 mesec, kasneje možnost tudi za nedoločen čas.Poleg fiksne plače je tudi stimulacija."
Aktuar samostojni analitik (m/ž) - 2 prosti mesti,https://www.optius.com//iskalci/prosta-delovna-mesta/aktuar-samostojni-analitik-mz-2-prosti-mesti-709645-709645/,03.10.2019,02:00,02.10.2019,Zavarovalnica Sava d.d.,Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/aktuar-samostojni-analitik-mz-2-prosti-mesti-709645-709645/,Aktuar samostojni analitik (m/ž) - 2 prosti mesti
Analitik informacijske varnosti (m/ž),https://www.optius.com//iskalci/prosta-delovna-mesta/analitik-informacijske-varnosti-mz-708747-708747/,03.10.2019,02:01,23.09.2019,"Kemofarmacija, veletrgovina za oskrbo zdravstva, d.d.",Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/analitik-informacijske-varnosti-mz-708747-708747/,"Kemofarmacija d.d. v svojo ekipo vabi novega sodelavca ozioma sodelavko na delovnem mestu Analitik informacijske varnosti (m/ž). Kemofarmacija je del mednardone skupine skupine McKesson Europe AG, ki je vodilno podjetje na področju zdravstvenih storitev, ki skrbi za dobavo življenjsko pomembnih zdravil, opreme in informacijske tehnologije in storitev, ponudnikom zdravstvenih storitev omogoča, da bolnikom nudijo boljšo in varnejšo oskrbo. Opis delovnega mesta   Naloge in odgovornosti To delovno mesto spada pod ekipo za Informacijsko varnost in upravljanje tveganja (ISRM) Kemofarmacije (McKesson Europe AG), zadolžitve tega mesta pa zajemajo oblikovanje in spodbujanje k uporabi ukrepov varnostnega nadzora na področju informacijske tehnologije in zagotavljanje skladnosti teh ukrepov pri vseh poslovnih enotah evropskega zdravstva in IT organizacijah družbe. Delovno mesto zahteva obsežna tehnična znanja in poznavanje zahtev skladnosti, da lahko našim evropskim poslovnim enotam pomaga zagotoviti varnost elektronskih informacij. Iščemo osebo z odličnim poznavanjem globalnih IT storitev in ukrepov za informacijsko varnost, ki bo znala te storitve in ukrepe učinkovito uporabiti znotraj zadevne poslovne enote. Oseba mora biti zagovornik globalne Strategije za varstvo podatkov, da bo zagotovila ustrezno uvajanje vseh globalnih pobud in storitev na trgu, v skladu s strateškimi načeli globalnega nadzora in regionalnega razumevanja.  Oseba bo razvijala in izvajala varnostni nadzor, varnostne ukrepe in protiukrepe, ki bodo prestregli in preprečili notranje in zunanje napade ali poskuse vdorov v sisteme podjetja. Oseba bo nadzorovala varnostne politike z namenom nadzorovati fizični in virtualni dostop do sistemov, kodiranje občutljivih in zaupnih podatkov, posodabljanje programske opreme, izvajanje preskusov ranljivosti sistema in druge politike, ki jih zahteva infrastruktura.    Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    VI/2.,                                    VII.                     Zahtevane delovne izkušnje 6 - 9 let   Od kandidata pričakujemo: Poznavanje in izkušnje z uredbami in standardi na področju varnosti, kot so NIST, GDPR, PCI in SOX. Poznavanje varnostnih okvirov ISO 27001 in NIST 800-53. Poznavanje konceptov omrežij (npr. LAN, VLAN, Vnet, WAN, požarni zid). Poznavanje varnostnega nadzora v povezavi s McAfee ePO, McAfee SIEM, Rapid 7 vulnerability scanner, WebInspect, požarnimi zidovi, DLP, ali enakovrednimi programi/tehnologijami. Poznavanje platform v oblaku (npr. Azure, AWS). Poznavanje in izkušnje z upravljanjem ranljivosti/oblikovanjem rešitev. Močne analitične sposobnosti in sposobnosti reševanja problemov in razumevanje IT poslovnih postopkov in informacijske varnosti. Samoiniciativen delavec, ki ga je treba nadzorovati le na minimalni ravni, sposoben učinkovito delati več stvari hkrati, lahko nudi nadzoruje in usposablja ostale v okviru določenega projekta ali naloge. Dodatno znanje in sposobnostiCertifikat CISSP ali enakovredno predstavlja prednost. Izkušnje z ocenjevanjem tveganja, revizijo in ocenjevanjem IT varnosti. Poznavanje predpisov na področju zdravstva, zasebnosti in finančne skladnosti. Izkušnje z MS Win 7 in Ofc 2007+; MS Visio, Winzip in Archer tudi predstavljajo prednost. Dobro znanje angleškega jezika.    Ponujamo   Delovno mesto ponuja: Vsi zaposleni v podjetju Kemofarmacija d.d. sodelujejo pri našem poslanstvu. Če se nam pridružite, boste delovali kot katalizator v verigi dogodkov, ki pomaga milijonom ljudem po vsem svetu. Nadarjeni in sočutni ljudje so prihodnost našega podjetja, kot tudi zdravstva. V podjetju Kemofarmacija boste sodelovali pri izdelkih in rešitvah, ki nam pomagajo pri izvajanju našega poslanstva – pomagati ljudem in izboljšati zdravstveno varstvo. Z vašim delom lahko pomagate sooblikovati industrijo, ki je pomembna vsakomur.Razumemo, kako pomembno je, da sistem spodbuja sodelovanje. Vaše znanje, strast in ambicije nam lahko pomagajo izboljšati vse elemente, s katerimi imamo stik – od ponudnikov zdravstvene oskrbe, do plačnikov in lekarn. Pridružite se naši ekipi in začnite obetavno poklicno kariero.S svojim delom za Kemofarmacijo, boste lahko dejansko prispevali k boljšemu življenju soljudi.   Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas   Poskusno delo: 6 mesecev   Mesečno plačilo                               po dogovoru                                                                         Plačilo je predmeto dogovora med kandidatom in družbama Kemofarmacija d.d in McKesson Europe AG."
