Delovno_mesto_link	Delovno_mesto	Datum_objave	Podjetje	Kraj_dela	REQUEST_URL	RESPONSE_URL	RESPONSE_DATE	RESPONSE_TIME	datum_strganja	res
"https://www.mojedelo.com/tehnik-vzdrzevanja/d-354077?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Tehnik vzdrževanja"	"Danes"	"Goodyear Dunlop Sava Tires d.o.o."	"Kranj"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-delovna-mesta?p=1"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-delovna-mesta?p=1"	"12.19.2017"	"04:00:43"	"19.12.2017 03:00:44"	"https://www.mojedelo.com/tehnik-vzdrzevanja/d-354077?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/prodajalec-mz-studentsko-delo/d-344248?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Prodajalec m/ž - študentsko delo"	"Danes"	"MASS D.O.O."	"Ljubljana"	""	""	""	""	"19.12.2017 03:00:44"	"https://www.mojedelo.com/prodajalec-mz-studentsko-delo/d-344248?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/flugzeugmechanikerletalski-tehnik/d-344151?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Flugzeugmechaniker/Letalski tehnik"	"Danes"	"ACE consulting GmbH"	"Avstrija"	""	""	""	""	"19.12.2017 03:00:44"	"https://www.mojedelo.com/flugzeugmechanikerletalski-tehnik/d-344151?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/holztechnikerin-lesarski-tehnik/d-344148?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"2 CNC-Dreher/innen / CNC strugar"	"Danes"	"ACE consulting GmbH"	"Avstrija"	""	""	""	""	"19.12.2017 03:00:44"	"https://www.mojedelo.com/holztechnikerin-lesarski-tehnik/d-344148?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/preizkusevalec-sestavnih-delov/d-344147?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Holztechniker/in / Lesarski tehnik"	"Danes"	"ACE consulting GmbH"	"Avstrija"	""	""	""	""	"19.12.2017 03:00:44"	"https://www.mojedelo.com/preizkusevalec-sestavnih-delov/d-344147?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/eplan-tehnik/d-344143?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Preizkuševalec sestavnih delov"	"Danes"	"ACE consulting GmbH"	"Avstrija"	""	""	""	""	"19.12.2017 03:00:44"	"https://www.mojedelo.com/eplan-tehnik/d-344143?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/mizar/d-344142?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"EPLAN-tehnik"	"Danes"	"ACE consulting GmbH"	"Avstrija"	""	""	""	""	"19.12.2017 03:00:44"	"https://www.mojedelo.com/mizar/d-344142?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/upravljalec-stroja-brizganje/d-344141?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Mizar"	"Danes"	"ACE consulting GmbH"	"Gornja Avstrija"	""	""	""	""	"19.12.2017 03:00:44"	"https://www.mojedelo.com/upravljalec-stroja-brizganje/d-344141?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/krovec-krovni-klepar/d-344140?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Upravljalec stroja (brizganje)"	"Danes"	"ACE consulting GmbH"	"Gornja Avstrija"	""	""	""	""	"19.12.2017 03:00:44"	"https://www.mojedelo.com/krovec-krovni-klepar/d-344140?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/cnc-operater/d-344139?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Krovec / krovni klepar"	"Danes"	"ACE consulting GmbH"	"Dunaj"	""	""	""	""	"19.12.2017 03:00:44"	"https://www.mojedelo.com/cnc-operater/d-344139?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
