VacancyPost,LinkToJV,ScrapeDate,ScrapeTime,PostDate,Firm,VacancySite,Sex,SourceLink,Content
"1x Prodajalka m/ž v poslovni enoti NKD d.o.o. v Zasavju, za krajši delovni čas 30 ur /tedensko",https://www.mojedelo.com//1x-prodajalka-mz-v-poslovni-enoti-nkd-doo-v-zasavju-za-krajsi-delovni-cas-30-ur-tedensko/d-387044?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D58,22.08.2018,04:36,06.08.2018,NKD d.o.o.,Zasavje,m/ž,https://www.mojedelo.com//1x-prodajalka-mz-v-poslovni-enoti-nkd-doo-v-zasavju-za-krajsi-delovni-cas-30-ur-tedensko/d-387044?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D58,"1x Prodajalka m/ž v poslovni enoti NKD d.o.o. v Zasavju, za krajši delovni čas 30 ur /tedensko  Opis del in nalog:  -  skrb za  stranke, pomoč  pri nakupu blaga oz. svetovanje-  polnjenje  prodajnih polic in stojal,-  prevzem blaga  in-  skrb za urejenost poslovalnice.  Pogoji, ki jih morajo izpolnjevati prijavitelji na razpis:   - stopnja izobrazbe: IV. ali  V.- smer: trgovska, komercialna ali ekonomska- zahtevana dodatna znanja: osnovna računalniška znanja- delovne izkušnje: 0 leti  Nudimo:  Delo za krajši delovni čas 30 ur /tedensko, pogodba se sklepa za obdobje najmanj 3 mesecev.Vaše prijave pričakujemo preko portala MojeDelo.com."
"1x Prodajalka m/ž v poslovni enoti NKD d.o.o. -  Vrhnika z okolico,  za krajši delovni čas 30 ur /tedensko",https://www.mojedelo.com//1x-prodajalka-mz-v-poslovni-enoti-nkd-doo-vrhnika-z-okolico-za-krajsi-delovni-cas-30-ur-tedensko/d-387688?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D35,22.08.2018,04:33,13.08.2018,NKD d.o.o.,Vrhnika,m/ž,https://www.mojedelo.com//1x-prodajalka-mz-v-poslovni-enoti-nkd-doo-vrhnika-z-okolico-za-krajsi-delovni-cas-30-ur-tedensko/d-387688?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D35,"1x Prodajalka m/ž v poslovni enoti NKD d.o.o. -  Vrhnika z okolico,  za krajši delovni čas 30 ur /tedensko  Opis del in nalog:  -  skrb za  stranke, pomoč  pri nakupu blaga oz. svetovanje-  polnjenje  prodajnih polic in stojal,-  prevzem blaga  in-  skrb za urejenost poslovalnice.  Pogoji, ki jih morajo izpolnjevati prijavitelji na razpis:   - stopnja izobrazbe: IV. ali  V.- smer: trgovska, komercialna ali ekonomska- zahtevana dodatna znanja: osnovna računalniška znanja- delovne izkušnje: 0 leti  Nudimo:  Delo za krajši delovni čas 30 ur /tedensko, pogodba se sklepa za obdobje najmanj 3 mesecev.Vaše prijave pričakujemo preko portala MojeDelo.com."
"1x Prodajalka m/ž v poslovni enoti NKD d.o.o. -  Žalec z okolico,  za krajši delovni čas 30 ur /tedensko",https://www.mojedelo.com//1x-prodajalka-mz-v-poslovni-enoti-nkd-doo-zalec-z-okolico-za-krajsi-delovni-cas-30-ur-tedensko/d-387405?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D42,22.08.2018,04:34,10.08.2018,NKD d.o.o.,Žalec,m/ž,https://www.mojedelo.com//1x-prodajalka-mz-v-poslovni-enoti-nkd-doo-zalec-z-okolico-za-krajsi-delovni-cas-30-ur-tedensko/d-387405?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D42,"1x Prodajalka m/ž v poslovni enoti NKD d.o.o. -  Žalec z okolico,  za krajši delovni čas 30 ur /tedensko  Opis del in nalog:  -  skrb za  stranke, pomoč  pri nakupu blaga oz. svetovanje-  polnjenje  prodajnih polic in stojal,-  prevzem blaga  in-  skrb za urejenost poslovalnice.  Pogoji, ki jih morajo izpolnjevati prijavitelji na razpis:   - stopnja izobrazbe: IV. ali  V.- smer: trgovska, komercialna ali ekonomska- zahtevana dodatna znanja: osnovna računalniška znanja- delovne izkušnje: 0 leti  Nudimo:  Delo za krajši delovni čas 30 ur /tedensko, pogodba se sklepa za obdobje najmanj 3 mesecev.Vaše prijave pričakujemo preko portala MojeDelo.com."
2 CNC-Dreher/innen / CNC strugar ,https://www.mojedelo.com//2-cnc-dreherinnen-cnc-strugar/d-344150?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D29,22.08.2018,04:33,15.08.2018,ACE consulting GmbH,Avstrija,m/ž,https://www.mojedelo.com//2-cnc-dreherinnen-cnc-strugar/d-344150?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D29,"Mizar    Die ACE consulting GmbH ist ein führender Dienstleister im Personalrecruiting und -bereitstellung in Oberösterreich und im bayrischen Grenzraum zu Österreich.http://www.acejobs.eu/2 CNC-Dreher/innenDurch unsere langjährige Erfahrung und starke Kundenorientierung setzen wir Standards bei der Integration und sofortigen Festanstellung für technisch produzierende Unternehmen.Zur Verstärkung unseres Kunden suchen wir 2 CNC-Dreher/innen für den Standort Linz und Ried im Innkreis.Unser Kunde ist ein Top-Industrieunternehmen in Oberösterreich, welches im internationalen Umfeld tätig ist und seinerseits Standards setzt.Stellenbeschreibung:Einrichtung und Bedienung von CNC-gesteuerten DrehmaschinenWartungs- und Reinigungsarbeiten an den genutzten MaschinenDokumentieren und Überwachen der FertigungsprozesseSelbstständige QualitätskontrolleMessen und Prüfen der WerkstückeFachliche Anforderung:Ausbildung im Fachbereich MetallErste Erfahrungen im CNC-DrehenBereitschaft zur SchichtarbeitPersönliche Anforderung:Selbständigkeit und Eigeninitiative, Genauigkeit, Team- und KontaktfähigWir bieten:Aufstiegschancen für motivierte MitarbeiterGute Entwicklungs- und WeiterbildungsmöglichkeitenLangfristige ArbeitsstelleUnterkunftsmöglichkeitenUnbefristeter österreichischer VertragEntlohnung:Der Brutto-Monatslohn (14 Löhne pro Jahr) beträgt für diese Stelle mindestens EUR 1.918,71 + Schichtzulage (Überzahlung möglich)Je nach Funktion, Qualifikation und Erfahrung ist eine Überzahlung möglich.Sozial-, Kranken- und Pensionsversicherung sind in Österreich geregeltKontaktACE consulting GmbHz.Hd. PersonalabteilungBethlehemstraße 3, 4020 Linz, AT Tel.: +43 732 609 101 400E-Mail: armin.sekic@acejobs.eu"
Administracija/pomočnik direktorja m/ž,https://www.mojedelo.com//administracijapomocnik-direktorja-mz/d-385503?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D91,22.08.2018,04:39,19.08.2018,Moto-Nautika d.o.o.,Miklavž na Dravskem polju,m/ž,https://www.mojedelo.com//administracijapomocnik-direktorja-mz/d-385503?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D91,"Izobrazba VI./1 - višješolski strokovni programi, VI./2 - visokošolski strokovni programi / 1. bolonjska stopnja, VII. - univerzitetni programi / 2. bolonjska stopnja   Izkušnje 1-3 leta   Poskusna doba                      Da (3 mesece)                    Oblika zaposlitve redno, določen d. č.   Regija Pomurje, Podravska      Opis delovnega mesta Opis delovnega mesta   –    prevzem in oddaja pošte–    vnašanje in prevzem artiklov na zalogo, knjiženje zaloge–    knjiženje in odjava konsignacijskega blaga–    inventurno usklajevanje–    poročanje vhodnih in izhodnih računov v Intrastat (razumevanje šifranta)–    vpisovanje in spremljanje vhodnih in izhodnih faktur–    arhiviranje dokumentacije (elektronsko in papirnato)–    vodenje evidenc pisno in elektronsko–    urejanje registracij in zavarovanj za plovila in prikolice–    obdelava reklamacijskih in garancijskih zahtevkov–    spremljanje mailov in ažurno odgovarjanje nanje–    pisanje dopisov in prijava na razpise–    korenspondenca z dobavitelji in drugimi poslovnimi partnerji–    priprava dokumentacije za računovodstvo      Kaj pričakujemo Kaj pričakujemo  Zahtevana znanja:–    obvezne izkušnje iz administracije–    angleški, hrvaški jezik pogovorno–    osnove vodenja računov in knjiženja–    delanje s tabelami in razpredelnicam–    delo z denarjem in z blagajno–    odgovornost, natančnost, poštenost–    odlične organizacijske in komunikacijske sposobnostiZaželeno:–    še en dodatni tuj jezik (Nemščina, Hrvaščina)–    poznavanje poročanja Intrastat–    osnovna znanja iz sveta navtike in motoristike–    znanje s poročja registracij in zavarovanj      Kaj nudimo Kaj nudimo  –    redno in stimulativno plačilo–    izplačilo regresa in božičnice–    možnost napredovanja in dodatnega izobraževanja–    udeležbo na mednarodnih sejmih–    interaktivno delovno okolje–    možnost razvoja na zasebnem in kariernem področju–    možnost zaposlitve za nedoločen časVaše prijave pričakujemo do 15.8.2018 preko portala Mojedelo.com ali na enaslov: zaposlitev@moto-nautika.com"
Administrativni asistent (m/ž) v Ljubljani,https://www.mojedelo.com//administrativni-asistent-mz-v-ljubljani/d-388404?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D2,22.08.2018,04:30,21.08.2018,Trenkwalder d.o.o.,Ljubljana,m/ž,https://www.mojedelo.com//administrativni-asistent-mz-v-ljubljani/d-388404?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D2,"Trenkwalder             Povezuje ljudi in podjetja                  Naš naročnik, evropska agencija, v svoj kolektiv vabi novega sodelavca/ko. Si želite dinamičnega dela v evropski instituciji, ste komunikativni, natančni, imate dobre organizacijske sposobnosti ter dobro obvladujete angleški jezik? Potem vas vabimo k prijavi na delovno mesto: Administrativni asistent (m/ž) v Ljubljani.         Administrativni asistent (m/ž) v Ljubljani Vaše delo bo zajemalo:         •    podporo pri koordinaciji in administraciji na razpisih in projektih v administrativnem oddelku podjetja za naročila in pogodbe,•     pomoč pri pripravi in urejanju potrebne dokumentacije, pogodb in poročil v povezavi s projekti,•    pomoč pri organizaciji sej,•    ostala dela po navodilih nadrejenega.         Iščemo kandidate:         •    z zaključeno vsaj VI. stopnjo izobrazbe ustrezne smeri,•    ki imajo odlično znanje angleškega jezika (raven C1),•    z dobro računalniško pismenostjo (poudarek na Office orodjih ter obvladovanju Interneta),•    z vsaj 1 letom izkušenj na podobnem delovnem mestu,•    ki lahko z delom pričnejo takoj.           Nudimo:         •    delo v uspešnem ter dinamičnem kolektivu,•    pričetek dela: september ali oktober; delovno razmerje za določen čas 1 leta z možnostjo zaposlitve za nedoločen čas,•    prijetno delovno okolje,•    dobro izhodiščno plačo. V kolikor v celoti izpolnjujete pogoje za zasedbo delovnega mesta, nam prosim posredujte Europass življenjepis v angleškem jeziku do najkasneje 28.8.2018.Ob prijavi prosim navedite referenčno številko SI2018332524. Prijave sprejemamo na elektronski naslov: prijava@trenkwalder.com.Za dodatne informacije smo vam na voljo na telefonski številki 040 573 410 ali na naslovu Trenkwalder d.o.o., Leskoškova 9d, 1000 Ljubljana."
Administrativno delo v računovodstvu (m/ž),https://www.mojedelo.com//administrativno-delo-v-racunovodstvu-mz/d-388024?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D19,22.08.2018,04:32,17.08.2018,Trenkwalder d.o.o.,Ljubljana,m/ž,https://www.mojedelo.com//administrativno-delo-v-racunovodstvu-mz/d-388024?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D19,"Trenkwalder             Povezuje ljudi in podjetja                  Si komunikativen/-a in te veseli timsko delo? Se želiš strokovno razvijati na področju računovodstva in pridobiti veliko novega znanja? Pridruži se izkušenemu timu sodelavcev in postani del velike Trenkwalder družine. Smo eno vodilnih kadrovskih podjetij v srednji in vzhodni Evropi, v Sloveniji pa imamo že več kot 20 let tradicije. Vse to znanje in izkušnje si želimo deliti s teboj! Si z nami? Administrativno delo v računovodstvu (m/ž) Vaše delo bo zajemalo:         - Opravljanje različnih administrativnih del,- arhiviranje,- pridobivanje podatkov za obračun plač,- vnašanje podatkov v interni informacijski sistem,- pripravljanje tabel,- pripravljanje dokumentov,- izpis dokumentov.         Iščemo kandidate:         - Študenta višjega letnika ekonomske ali druge družboslovne smeri,- poznavanje paketa MS Office  (pri tvojem delu ti bo koristilo predvsem poznavanje Excel-a),- komunikativnost in veselje do dela z ljudmi,- ozaveščenost, da le s skupnimi močmi zmoremo več, zato ti je dobro timsko delo prav tako pomembno kot nam,- željo po učenju novih stvari,- zainteresiranost za dolgoročno sodelovanje, ki lahko preraste v redno zaposlitev.          Nudimo:         - Razgibano delo v prijetnem kolektivu, kjer ne manjka pozitivne energije,- neprecenljive izkušene, ki jih lahko pridobiš v timu izkušenih strokovnjakov,- številne možnosti pridobivanja novega in bogatenje obstoječega strokovnega znanja,- delovno okolje, kjer lahko hitro napreduješ, se osebnostno in profesionalno razvijaš,- razvoj raznolikih kompetenc, ki ti bodo v življenju in delu zelo koristile (sposobnost upravljanja s časom in dela s   časovnimi roki, upravljanje s stresom, večopravilnost itd.),- delo v sodobno urejenih in svetlih poslovnih prostorih.Prijave s tvojimi kontakti (telefonska številka, elektronski naslov) in opisom dosedanjih izkušenj v obliki življenjepisa sprejemamo na elektronski naslov: prijava@trenkwalder.com ali na naslov: Trenkwalder d.o.o., Leskoškova 9d, 1000 Ljubljana.Za dodatne informacije smo na voljo na telefonski številki 041 986 498.V prijavi obvezno navedi tudi tvoje kontaktne podatke, na katere si dosegljiv/a (tel. št. in elektronski naslov) in referenčno številko oglasa: SI2018710086."
Administrator - kadrovik,https://www.mojedelo.com//administrator-kadrovik/d-386383?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D77,22.08.2018,04:38,31.07.2018,VORIO d.o.o. ,Šmarje pri Jelšah,m/ž,https://www.mojedelo.com//administrator-kadrovik/d-386383?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D77,"Delovodja    ADMINISTRATOR – KADROVIK (m/ž)Smo nasledniki družinskega podjetja MKV MONTAŽA d.o.o., ki je uspešno delovalo od leta 2010. Zaradi izgube lastnika in direktorja družbe, smo prevzeli poslovanje in nadaljujemo uspešno zgodbo. Dejavnost izvajamo na različnih področjih avtomobilske, živilsko-predelovalne in petro-kemične industrije ter energetike. Prisotni smo na trgih EU, S. Amerike, Azije in Afrike.V podjetju podajamo velik pomen varjenju. Spremljamo zahteve strank in z usposabljanjem naših varilcev dosegamo najvišjo kakovost.Prav tako nenehno sledimo novim trendom in zahtevam na področju organizacije vodenja in varnosti ter zdravja pri delu.VORIO d.o.o.Rogaška cesta 42SI-3240 Šmarje pri JelšahSlovenijawww.vorio.si040 467 673 (Mario)OPIS DELOVENGA MESTA:Urejanje kadrovske evidence.Osebno, telefonsko in elektronsko komuniciranje z zaposlenimi v slovenskem in hrvaškem jeziku.Telefonsko in elektronsko komuniciranje s strankami v angleškem in nemškem jeziku.Urejanje enostavnih administrativno organizacijskih del.Sodelovanje z ostalimi področji v podjetju.Fleksibilen delovni čas - prilagajanje projektom.Delo poteka v pisarni v Šmarju pri Jelšah.PRIČAKUJEMO:V. ali VI./1 stopnjo izobrazbe komercialne ali administrativne smeripoznavanje programov MS Office s poudarkom na Exelovih funkcijah, eVem, email, splet…obvezno znanje angleškega in nemškega jezikazaželeno znanje hrvaškega jezikasposobnost samostojnega in timskega delaizkušnje pri podobnih delih - 3 letasamostojna organizacija dela in delovnega časaodgovoren odnos do delazanesljivostnatančnost in pripadnost deluvozniški izpit B-kategorijeNUDIMO:po preizkusni dobi možnost zaposlitve za nedoločen časredno in stimulativno plačilozelo dobro urejene delovne pogojesocialno varnostZainteresirani pošljite prošnjo skupaj s sliko na zaposlitev@vorio.si in pokličite na +386 40 467 673 – Mario.Prošnja naj vsebuje:Ime in priimekDatum in kraj rojstvaTočen naslovTelefonska številka in email naslovIzobrazbaDelovne izkušnjePriložite potrdila o usposobljenosti (diploma, jezikovni tečaji,….)"
Administrator - kadrovik,https://www.mojedelo.com//administrator-kadrovik/d-386710?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D54,22.08.2018,04:35,07.08.2018,AGENCIJA AGADO d.o.o.,Ljubljana,m/ž,https://www.mojedelo.com//administrator-kadrovik/d-386710?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D54,"Proizvodni delavec v brizganju gumi-tehničnih izdelkov    Delovno mesto:ADMINISTRATOR - KADROVIK (Ljubljana)Kraj dela: LjubljanaV AGENCIJI AGADO vemo, da so za dosego želenih poslovnih rezultatov v največji meri odgovorni uspešni in odgovorni zaposleni. Zato svojim sodelavcem nudimo odlično delovno okolje, ki posamezniku omogoča osebnostno in karierno rast.Si ambiciozna in samoiniciativna oseba, ki se želi pridružiti naši ekipi ter soustvarjati prihodnost našega podjetja na kadrovskem področju? Si domač/a v uporabi nemškega in angleškega jezika? Te zanima možnost kariernega razvoja in urejeno delovno okolje? Ne odlašaj s prijavo.Tvoje naloge:Urejanje in vodenje kadrovske evidence.Osebno, telefonsko in elektronsko komuniciranje z zaposlenimi v slovenskem in hrvaškem jeziku.Telefonsko in elektronsko komuniciranje s strankami v angleškem in nemškem jeziku.Vodenje in izvajanje postopkov pridobivanja novih kadrov (zbiranje potreb po delavcih, oglaševanje prostih del, selekcija, razgovori s kandidati).Izvajanje postopkov v zvezi z delovnimi razmerji.Pripravljanje pogodbene in zaposlitvene dokumentacije.Sodelovanje pri pripravi strokovnih podlag in navodil.Izpeljava postopkov za zaposlovanje tujcev.Urejanje administrativno organizacijskih del.Poznavanje delovnopravega področja in zakonskih podlag.Kaj pričakujemo:V. ali VI. stopnjo izobrazbe kadrovske, komercialne, ekonomske ali administrativne smeri.Poznavanje delovnopravnega področja in zakonskih podlag.Poznavanje programov MS Office s poudarkom na Exelovih funkcijah, eVem, email, splet…;Znanje nemškega, angleškega in hrvaškega jezika;Sposobnost samostojnega in timskega dela;Izkušnje pri podobnih delih – minimalno 1 leto;Organizacijske sposobnosti in sposobnosti komuniciranja;Samostojna organizacija dela in delovnega časa;Ogovoren odnos do dela, zanesljivost, pripadnost podjetju in delu.Kooperativnost, natančnost, vestnost in samodiscipliniranost.Kaj ti ponujamo:Po preizkusni dobi možnost zaposlitve za nedoločen čas.Redno in stimulativno plačilo.Možnost kariernega razvoja.Urejeno in motivacijsko delovno okolje.Pisanje uspešne zgodbe na kadrovskem področju.Delovni čas od 8.00 do 16.00.Delo poteka v pisarni na Dunajski cesti 106.Resni in odgovorni kandidati naj se na omenjeno delovno mesto prijavijo s krajšim življenjepisom preko sistema MojeDelo ali na e-naslov zelimir.pavlovic@agado.si."
Administrator m/ž,https://www.mojedelo.com//administrator-mz/d-387297?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D46,22.08.2018,04:34,09.08.2018,Axent d.o.o.,Koper,m/ž,https://www.mojedelo.com//administrator-mz/d-387297?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D46,"Smo ekipa zagnanih, strokovno podkovanih in vsestranskih oseb. Vsak od nas ima svoje želje in pričakovanja, ki pa se združijo v skupni cilj: Biti tu za vas!  Vodijo nas profesionalnost, srčnost, pozitivna energija in mišljenje, da skupaj zmoremo vse. V največje zadovoljstvo in ponos nam je, ko prisostvujemo poslovnim in osebnim uspehom. Takrat se namreč zavedamo, da smo na pravi poti in da delamo prav. Vedno sledimo najnovejšim smernicam in spoznanjem na področju človeških virov. Z vedno več znanja postajamo vse boljši.  To pomeni, da smo boljši tudi za vas.    Administrator m/ž Lokacija delovnega mesta: Koper  Opis delovnega mesta: Lokacija delovnega mesta: Koper Za našega naročnika iščemo analitično, natančno in zanesljivo osebo, ki se bo zaposlila na delovnem mestu Administrator m/ž. •    obdelava dokumentacije, vezane na nepremičnine,•    preverjanje pravilnosti nepremičninskih cenitev po predpisanih standardih, •    izvajanje dodeljenih nalog ter doseganje zastavljenih ciljev, •    aktivno sodelovanje pri izobraževanjih. Naročnik pričakuje: •    zaželena izobrazba: geometer ali gradbeni inženir, ni pa pogoj,•    odlično znanje italijanščine (B2-C1), •    prilagodljivost,•    sposobnost analitičnega mišljenja,•    življenjepis v slovenskem in italijanskem jeziku. Naročnik nudi: •    pogodbo za nedoločen čas s šestmesečnim poskusnim obdobjem, •    redno in stimulativno plačilo,•    enoizmenski urnik od 09:00 do 17:00, •    možnost strokovnega in osebnega razvoja ter napredovanja, •    delo v prijetnem kolektivu.   Zainteresirane kandidatke in kandidate vabimo, da nam svoje prijave s priloženim življenjepisom pošljejo na elektronski naslov delo@axent.si."
