YearMonth;Turnover_indices
2017_01;110,9
2017_02;120,3
2017_03;132,1
2017_04;122,9
2017_05;123,7
2017_06;129,8
2017_07;119,8
2017_08;115
2017_09;133,5
2017_10;131,7
2017_11;146,2
2017_12;145,2
2018_1;124,8
2018_2;125,3
2018_3;132,8
2018_4;136,1
2018_5;139,2
2018_6;138,1
2018_7;130
2018_8;128
2018_9;131,9
2018_10;136,1
2018_11;142,3
2018_12;130,8
2019_1;118,9
2019_2;123,7
2019_3;124,5
2019_4;127,4
2019_5;135,5
2019_6;125,6
2019_7;127,6
2019_8;121,1
2019_9;130
2019_10;127,8
2019_11;134,3
2019_12;130,8
2020_1;107,8
2020_2;112,7
